127.0.0.1 - - [20/Jan/2024:13:55:39 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:55:40 +0530] "GET /fer_jsp/ HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:55:56 +0530] "GET /fer_jsp/Registration.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:58:44 +0530] "POST /fer_jsp/registration HTTP/1.1" 500 47
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:58:52 +0530] "GET /fer_jsp/Registration.jsp HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:59:05 +0530] "GET /fer_jsp/Registration.jsp HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:59:12 +0530] "GET /fer_jsp/registration HTTP/1.1" 405 752
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:59:22 +0530] "GET /fer_jsp/Registration.jsp HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:20:11 +0530] "GET /fer_jsp/Registration.jsp HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:20:12 +0530] "GET /fer_jsp/Registration.jsp HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:20:13 +0530] "GET /fer_jsp/Registration.jsp HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:20:45 +0530] "POST /fer_jsp/RegistrationPost.jsp HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:44:51 +0530] "POST /fer_jsp/login HTTP/1.1" 500 1761
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:46:25 +0530] "GET /fer_jsp/ HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:46:34 +0530] "POST /fer_jsp/LoginPost.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:46:43 +0530] "POST /fer_jsp/LoginPost.jsp HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:46:49 +0530] "POST /fer_jsp/LoginPost.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:54:03 +0530] "POST /fer_jsp/LoginPost.jsp HTTP/1.1" 200 1403
0:0:0:0:0:0:0:1 - - [20/Jan/2024:15:01:28 +0530] "POST /fer_jsp/LoginPost.jsp HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [20/Jan/2024:15:01:30 +0530] "POST /fer_jsp/AddExpense.jsp HTTP/1.1" 200 2321
0:0:0:0:0:0:0:1 - - [20/Jan/2024:15:20:11 +0530] "POST /fer_jsp/addExpense HTTP/1.1" 500 1771
0:0:0:0:0:0:0:1 - - [20/Jan/2024:15:20:28 +0530] "POST /fer_jsp/AddExpense.jsp HTTP/1.1" 200 2321
0:0:0:0:0:0:0:1 - - [20/Jan/2024:15:20:57 +0530] "POST /fer_jsp/addExpense HTTP/1.1" 500 1771
0:0:0:0:0:0:0:1 - - [20/Jan/2024:15:23:58 +0530] "POST /fer_jsp/AddExpense.jsp HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [20/Jan/2024:15:24:34 +0530] "POST /fer_jsp/AddExpensePost.jsp HTTP/1.1" 200 1407
0:0:0:0:0:0:0:1 - - [20/Jan/2024:15:42:04 +0530] "POST /fer_jsp/displayEditExpenseOptions HTTP/1.1" 500 1801
0:0:0:0:0:0:0:1 - - [20/Jan/2024:15:42:50 +0530] "POST /fer_jsp/AddExpensePost.jsp HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [20/Jan/2024:15:42:58 +0530] "POST /fer_jsp/EditExpenseOptions.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [20/Jan/2024:16:11:23 +0530] "POST /fer_jsp/EditExpenseOptions.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [20/Jan/2024:16:11:28 +0530] "POST /fer_jsp/EditExpense.jsp HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [20/Jan/2024:16:11:38 +0530] "POST /fer_jsp/EditExpensePost.jsp HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [20/Jan/2024:16:13:53 +0530] "POST /fer_jsp/EditExpensePost.jsp HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [20/Jan/2024:16:19:41 +0530] "POST /fer_jsp/displayDeleteExpenseOptions HTTP/1.1" 500 1805
0:0:0:0:0:0:0:1 - - [20/Jan/2024:16:19:48 +0530] "POST /fer_jsp/EditExpensePost.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [20/Jan/2024:16:19:50 +0530] "POST /fer_jsp/DeleteExpenseOptions.jsp HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [20/Jan/2024:16:23:49 +0530] "POST /fer_jsp/DeleteExpenseOptions.jsp HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [20/Jan/2024:16:23:55 +0530] "POST /fer_jsp/DeleteExpensePost.jsp HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [20/Jan/2024:16:31:05 +0530] "POST /fer_jsp/displayExpenseReportSelection HTTP/1.1" 500 1795
0:0:0:0:0:0:0:1 - - [20/Jan/2024:16:31:13 +0530] "POST /fer_jsp/DeleteExpensePost.jsp HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [20/Jan/2024:16:31:24 +0530] "POST /fer_jsp/ExpenseReportSelection.jsp HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [20/Jan/2024:16:31:28 +0530] "POST /fer_jsp/DeleteExpenseOptions.jsp HTTP/1.1" 200 1687
